ID	adj.P.Val	P.Value	t	B	logFC	ORF
5691	3.25e-07	1.17e-08	-23.692139	10.55984	-1.3122378	YOR347C
2287	3.45e-07	1.25e-08	-23.501708	10.49107	-1.0625109	YGR086C
2707	3.48e-07	1.26e-08	23.459741	10.47583	1.1343614	YHR148W
1131	3.49e-07	1.28e-08	23.430272	10.46512	1.0608979	YDR165W
5685	3.49e-07	1.28e-08	23.426057	10.46359	1.3246979	YOR341W
3536	3.49e-07	1.29e-08	23.393883	10.45187	1.4788346	YKL143W
4017	3.49e-07	1.29e-08	23.391603	10.45104	1.209283	YLR222C
3675	3.49e-07	1.30e-08	23.378281	10.44618	1.2552834	YKR056W
5957	3.54e-07	1.32e-08	23.318432	10.42433	0.9759849	YPL217C
2698	3.54e-07	1.33e-08	-23.313264	10.42244	-1.3979775	YHR140W
37	3.58e-07	1.35e-08	23.267172	10.40557	0.905655	YAL036C
5893	3.61e-07	1.36e-08	-23.230462	10.39211	-1.0760371	YPL154C
376	3.62e-07	1.38e-08	-23.205483	10.38293	-1.695971	YBR147W
6173	3.73e-07	1.42e-08	23.103654	10.34543	0.9497553	YPR145W
2014	3.74e-07	1.43e-08	23.083237	10.33789	1.3565104	YGL078C
4590	3.78e-07	1.46e-08	-23.028267	10.31756	-1.3928163	YMR173W
104	3.78e-07	1.46e-08	23.02121	10.31494	1.1698437	YAR071W
1594	3.79e-07	1.48e-08	-23.000204	10.30716	-1.0548839	YEL073C
3203	3.79e-07	1.48e-08	22.987166	10.30232	1.1028862	YJL200C
3211	3.82e-07	1.50e-08	22.942539	10.28574	0.8688386	YJL208C
1225	3.82e-07	1.51e-08	-22.939874	10.28475	-0.9414284	YDR258C
3019	3.84e-07	1.52e-08	-22.905018	10.27178	-0.8651533	YJL016W
2567	3.84e-07	1.52e-08	-22.903066	10.27105	-1.1500765	YHR016C
2389	3.94e-07	1.58e-08	22.801435	10.23311	0.9097984	YGR187C
3051	3.94e-07	1.59e-08	22.790197	10.22891	1.2436283	YJL050W
3287	3.94e-07	1.59e-08	22.788693	10.22834	0.9655112	YJR063W
2329	4.01e-07	1.63e-08	-22.717173	10.20152	-1.2651742	YGR127W
4364	4.01e-07	1.63e-08	22.712325	10.1997	1.1569238	YML093W
2092	4.04e-07	1.65e-08	-22.674017	10.1853	-0.9808873	YGL156W
2713	4.04e-07	1.65e-08	22.669731	10.18368	0.7876557	YHR154W
2534	4.09e-07	1.68e-08	-22.619244	10.16466	-1.1817898	YHL035C
6061	4.13e-07	1.72e-08	22.555303	10.14049	0.9860872	YPR035W
1248	4.13e-07	1.73e-08	22.540196	10.13478	0.9388913	YDR281C
940	4.13e-07	1.73e-08	22.53702	10.13357	1.3691711	YDL227C
3491	4.13e-07	1.73e-08	22.535141	10.13286	1.202481	YKL099C
3752	4.13e-07	1.73e-08	-22.531006	10.1313	-1.086549	YLL026W
516	4.21e-07	1.77e-08	-22.463695	10.10576	-0.8421308	YBR284W
4739	4.23e-07	1.79e-08	-22.439526	10.09657	-0.9740022	YMR315W
3749	4.24e-07	1.80e-08	-22.421052	10.08954	-1.8004584	YLL023C
5092	4.26e-07	1.82e-08	-22.396499	10.08018	-1.0722345	YNR001C
5054	4.26e-07	1.83e-08	22.383144	10.07509	0.8444496	YNL301C
3059	4.27e-07	1.84e-08	-22.361456	10.06682	-0.8269923	YJL057C
2695	4.27e-07	1.85e-08	-22.352995	10.06358	-1.183126	YHR138C
1638	4.34e-07	1.88e-08	-22.294217	10.04111	-0.8887056	YER035W
4246	4.36e-07	1.90e-08	-22.272266	10.03269	-0.9058281	YLR446W
4395	4.36e-07	1.91e-08	-22.261761	10.02867	-0.8326963	YML120C
6087	4.46e-07	1.96e-08	-22.185262	9.99927	-0.9172598	YPR061C
5862	4.46e-07	1.96e-08	-22.177196	9.99617	-0.966437	YPL123C
878	4.74e-07	2.10e-08	21.992391	9.9247	0.8074476	YDL166C
4520	4.76e-07	2.11e-08	-21.968631	9.91547	-0.900802	YMR110C
1137	4.78e-07	2.13e-08	-21.945416	9.90644	-1.9127661	YDR171W
5213	4.80e-07	2.15e-08	21.925861	9.89882	0.9292298	YOL041C
371	4.97e-07	2.23e-08	21.817301	9.85642	0.9753317	YBR142W
2756	4.97e-07	2.24e-08	21.806724	9.85228	1.0978514	YHR197W
2871	4.98e-07	2.25e-08	21.789411	9.8455	1.1157574	YIL091C
3463	4.98e-07	2.26e-08	21.780408	9.84197	0.9623979	YKL072W
589	5.11e-07	2.33e-08	21.695979	9.80878	1.1075152	YCL059C
1086	5.16e-07	2.36e-08	21.659291	9.79432	1.1287518	YDR120C
5718	5.17e-07	2.38e-08	-21.642621	9.78774	-1.4514809	YOR374W
1488	5.24e-07	2.42e-08	-21.59435	9.76866	-2.0275771	YDR516C
5686	5.27e-07	2.44e-08	21.567518	9.75804	0.7975654	YOR342C
4867	5.41e-07	2.51e-08	-21.488936	9.72685	-0.9736133	YNL115C
1437	5.49e-07	2.56e-08	21.435294	9.70548	0.9640641	YDR465C
5653	5.51e-07	2.58e-08	21.414082	9.69702	1.3148737	YOR310C
5345	7.00e-07	3.72e-08	25.77715	9.65087	1.5783424	YOR004W
1723	5.74e-07	2.70e-08	21.29498	9.64935	0.9796719	YER110C
4414	5.76e-07	2.72e-08	21.270354	9.63946	0.9760286	YMR006C
4667	5.76e-07	2.74e-08	21.256587	9.63393	0.884593	YMR246W
2885	5.76e-07	2.74e-08	-21.256548	9.63391	-0.8377766	YIL105C
320	5.93e-07	2.83e-08	21.167835	9.59816	1.1711351	YBR092C
4987	6.11e-07	2.92e-08	-21.076102	9.56103	-1.2040572	YNL234W
5061	6.18e-07	2.97e-08	21.034884	9.54429	1.2460798	YNL308C
4100	6.27e-07	3.03e-08	20.98195	9.52275	0.923814	YLR303W
1327	6.27e-07	3.03e-08	-20.977848	9.52108	-1.0201606	YDR358W
1062	6.30e-07	3.06e-08	-20.953607	9.51119	-0.8124987	YDR096W
2858	6.30e-07	3.07e-08	-20.945073	9.50771	-0.8985631	YIL077C
5188	6.35e-07	3.11e-08	-20.915113	9.49547	-0.7453819	YOL016C
3415	6.46e-07	3.19e-08	-20.842816	9.46586	-1.4742301	YKL026C
6177	6.46e-07	3.19e-08	-20.839155	9.46436	-1.1958086	YPR149W
4797	6.46e-07	3.20e-08	-20.831309	9.46114	-0.8805308	YNL045W
3049	6.46e-07	3.21e-08	-20.830327	9.46074	-1.097237	YJL048C
5255	6.47e-07	3.22e-08	-20.820051	9.45652	-0.9154149	YOL082W
4162	6.49e-07	3.24e-08	20.803053	9.44953	1.0192469	YLR363W-A
743	6.52e-07	3.27e-08	20.779963	9.44004	1.3333527	YDL037C
879	6.52e-07	3.28e-08	20.770229	9.43603	1.0686217	YDL167C
4552	6.53e-07	3.30e-08	-20.755687	9.43004	-0.736685	YMR139W
1371	6.54e-07	3.31e-08	20.743857	9.42516	1.0680639	YDR399W
5128	6.55e-07	3.33e-08	-20.730258	9.41956	-2.7684458	YNR034W-A
